"Date(UTC)","UnixTimeStamp","Value"
"5/31/2020","1590883200","613"
"6/1/2020","1590969600","614"
"6/2/2020","1591056000","614"
"6/3/2020","1591142400","614"
"6/4/2020","1591228800","614"
"6/5/2020","1591315200","614"
"6/6/2020","1591401600","614"
"6/7/2020","1591488000","614"
"6/8/2020","1591574400","614"
"6/9/2020","1591660800","614"
"6/10/2020","1591747200","614"
"6/11/2020","1591833600","614"
"6/12/2020","1591920000","614"
"6/13/2020","1592006400","614"
"6/14/2020","1592092800","614"
"6/15/2020","1592179200","614"
"6/16/2020","1592265600","614"
"6/17/2020","1592352000","614"
"6/18/2020","1592438400","614"
"6/19/2020","1592524800","614"
"6/20/2020","1592611200","615"
"6/21/2020","1592697600","614"
"6/22/2020","1592784000","614"
"6/23/2020","1592870400","614"
"6/24/2020","1592956800","614"
"6/25/2020","1593043200","614"
"6/26/2020","1593129600","614"
"6/27/2020","1593216000","614"
"6/28/2020","1593302400","614"
"6/29/2020","1593388800","614"
"6/30/2020","1593475200","616"
"7/1/2020","1593561600","614"
"7/2/2020","1593648000","614"
"7/3/2020","1593734400","616"
"7/4/2020","1593820800","614"
"7/5/2020","1593907200","614"
"7/6/2020","1593993600","614"
"7/7/2020","1594080000","616"
"7/8/2020","1594166400","615"
"7/9/2020","1594252800","615"
"7/10/2020","1594339200","614"
"7/11/2020","1594425600","615"
"7/12/2020","1594512000","614"
"7/13/2020","1594598400","614"
"7/14/2020","1594684800","614"
"7/15/2020","1594771200","614"
"7/16/2020","1594857600","616"
"7/17/2020","1594944000","616"
"7/18/2020","1595030400","614"
"7/19/2020","1595116800","622"
"7/20/2020","1595203200","621"
"7/21/2020","1595289600","618"
"7/22/2020","1595376000","618"
"7/23/2020","1595462400","627"
"7/24/2020","1595548800","636"
"7/25/2020","1595635200","617"
"7/26/2020","1595721600","618"
"7/27/2020","1595808000","634"
"7/28/2020","1595894400","617"
"7/29/2020","1595980800","617"
"7/30/2020","1596067200","618"
"7/31/2020","1596153600","618"
"8/1/2020","1596240000","620"
"8/2/2020","1596326400","617"
"8/3/2020","1596412800","624"
"8/4/2020","1596499200","622"
"8/5/2020","1596585600","626"
"8/6/2020","1596672000","623"
"8/7/2020","1596758400","623"
"8/8/2020","1596844800","623"
"8/9/2020","1596931200","623"
"8/10/2020","1597017600","624"
"8/11/2020","1597104000","624"
"8/12/2020","1597190400","625"
"8/13/2020","1597276800","740"
"8/14/2020","1597363200","625"
"8/15/2020","1597449600","626"
"8/16/2020","1597536000","631"
"8/17/2020","1597622400","691"
"8/18/2020","1597708800","658"
"8/19/2020","1597795200","627"
"8/20/2020","1597881600","644"
"8/21/2020","1597968000","627"
"8/22/2020","1598054400","620"
"8/23/2020","1598140800","624"
"8/24/2020","1598227200","622"
"8/25/2020","1598313600","623"
"8/26/2020","1598400000","627"
"8/27/2020","1598486400","628"
"8/28/2020","1598572800","634"
"8/29/2020","1598659200","624"
"8/30/2020","1598745600","629"
"8/31/2020","1598832000","626"
"9/1/2020","1598918400","629"
"9/2/2020","1599004800","642"
"9/3/2020","1599091200","635"
"9/4/2020","1599177600","633"
"9/5/2020","1599264000","633"
"9/6/2020","1599350400","628"
"9/7/2020","1599436800","638"
"9/8/2020","1599523200","647"
"9/9/2020","1599609600","631"
"9/10/2020","1599696000","684"
"9/11/2020","1599782400","641"
"9/12/2020","1599868800","643"
"9/13/2020","1599955200","657"
"9/14/2020","1600041600","657"
"9/15/2020","1600128000","664"
"9/16/2020","1600214400","654"
"9/17/2020","1600300800","641"
"9/18/2020","1600387200","634"
"9/19/2020","1600473600","666"
"9/20/2020","1600560000","641"
"9/21/2020","1600646400","652"
"9/22/2020","1600732800","656"
"9/23/2020","1600819200","725"
"9/24/2020","1600905600","706"
"9/25/2020","1600992000","1609"
"9/26/2020","1601078400","703"
"9/27/2020","1601164800","727"
